,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_degree,param_gamma,param_kernel,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,split5_test_rmse,split6_test_rmse,split7_test_rmse,split8_test_rmse,split9_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,split5_test_mae,split6_test_mae,split7_test_mae,split8_test_mae,split9_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2
62,7.839714622497558,0.19068991061552884,1.7835052490234375,0.14513876065760234,5,0.01,8,scale,rbf,"{'C': 5, 'coef0': 0.01, 'degree': 8, 'gamma': 'scale', 'kernel': 'rbf'}",-103.87905960552013,-300.71776540790717,-347.97006496872814,-330.7506494588656,-122.8068333202086,-173.11195721731772,-351.027219742491,-221.33608739771987,-390.19347717230846,-506.58967987615176,-284.83827941672183,121.04372412014193,88,-92.35088753334416,-210.3959107056178,-265.1664063160368,-256.75154314016095,-106.51415007276832,-148.9229369210718,-260.1139507738381,-174.89194531085363,-269.32759150897505,-272.78847391288764,-205.72237961955543,66.73334783029541,87,0.10635727183289567,-0.2898056666673443,-0.1621243850821774,-0.2440773878967717,-0.6686819819765462,0.0689834507654874,-0.5557598805402031,-0.04309624889145769,-0.2111014071372821,-0.17992173649987464,-0.21792279720932745,0.23362579098556133,87
63,7.5056678533554075,0.21309624550885115,0.7385902881622315,0.034400976979612106,5,0.01,8,scale,sigmoid,"{'C': 5, 'coef0': 0.01, 'degree': 8, 'gamma': 'scale', 'kernel': 'sigmoid'}",-91.78468097696543,-283.90549981956076,-310.6522626908551,-294.4809310156922,-109.57174506475992,-147.90022187647546,-334.1766544831659,-201.8450513169274,-369.23032527511776,-488.1941255508286,-263.17414980703484,118.57686017328498,63,-81.86751608606387,-196.20547450368528,-242.594504795921,-230.10308151368596,-96.66048780017691,-132.61780858575915,-245.7845684453001,-162.17254880407742,-252.5174388621533,-259.79768610968836,-190.03211155065114,63.85685824980679,63,0.30233278907240035,-0.1496184394481903,0.07377203733618642,0.013810577364887222,-0.3283902141230446,0.32041948425279143,-0.4099807810698617,0.1325266553700447,-0.08446421142766303,-0.09578568801620135,-0.02253777906886508,0.22952336664252382,63
64,6.956779861450196,0.23995677868239682,0.7645960807800293,0.012673661728889205,5,10,3,auto,linear,"{'C': 5, 'coef0': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",-69.73761606739974,-173.25015308996947,-130.17221244696285,-126.23065712690656,-97.63916436953014,-94.19694609911357,-177.07927927867354,-164.34782671011158,-265.69122686680885,-365.25790501394033,-166.36029870694165,84.72270064769815,13,-53.528394745097735,-142.47012932446538,-118.03083032422244,-100.18592544360085,-77.60096846682295,-74.3326262631338,-140.64428178809138,-138.31953945893903,-196.20878088598556,-186.91380751349962,-122.82352842138589,44.91141033733643,4,0.5972439235655578,0.5718919801434963,0.837368218895007,0.8187927075347485,-0.05481578119258401,0.7243379930205514,0.6040900007146432,0.42489405446679684,0.43846746129760494,0.3866056476446842,0.5348876206090506,0.24681323550425163,13
65,7.290224194526672,0.08326976058271014,0.7768820285797119,0.03441746265328411,5,10,3,auto,poly,"{'C': 5, 'coef0': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",-70.74880477919373,-174.66438518930372,-123.58266818899122,-127.87363683786762,-95.12696944556284,-89.47041650841588,-182.18823015993908,-166.42636707869698,-268.0166664842589,-364.1486405684036,-166.22467852406334,85.56430024073968,12,-52.297768849847415,-144.87036755899973,-113.28970207738222,-102.04707676391217,-75.42211546374403,-70.49208779984473,-143.75333789480933,-142.72219056663195,-197.41698851941143,-186.20437030680804,-122.85160058013909,46.242075539540956,46,0.5854793966433559,0.5648742061631729,0.8534168734486104,0.8140449318749734,-0.0012345631914882915,0.7513077876004233,0.5809154859343265,0.4102551016940126,0.42859491471504396,0.3903256676441882,0.5377979802526618,0.2380916886208173,4
66,7.251683950424194,0.15763111447961276,1.7147006034851073,0.5010608306324947,5,10,3,auto,rbf,"{'C': 5, 'coef0': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",-104.12502128014405,-300.9871398729265,-348.20299781869767,-330.30357977032565,-122.91601108270109,-173.37545781863557,-351.29475613500813,-221.44682060124507,-390.3318297242651,-506.7936103229535,-284.9777224426902,121.02513540376245,95,-92.54805460158667,-210.61083761170937,-265.36868003020373,-256.4502522942575,-106.5950838645312,-149.13262155043716,-260.32056059032374,-174.992889917022,-269.435427163256,-272.9352354907772,-205.83896431141048,66.7038169598112,93,0.1021203816868076,-0.29211744445503074,-0.16368076923829622,-0.24071646693882975,-0.6716502849992565,0.06614701898135478,-0.5581322378685318,-0.04414022038234733,-0.2119604100996928,-0.1808718956062303,-0.21950023289200532,0.23351334191462497,93
67,7.002377152442932,0.25195452338279156,0.7540867567062378,0.03012713865547995,5,10,3,auto,sigmoid,"{'C': 5, 'coef0': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",-110.18518364513538,-308.52257356925134,-356.225270055755,-337.7833193288504,-124.67133783664913,-181.36054135020177,-360.63872598409125,-227.63189487964948,-394.9644552971617,-512.4230477882091,-291.4406349734955,121.58535657626005,137,-96.74833322047039,-216.5141665127567,-274.44749969148694,-262.9733330556434,-108.12333316776581,-156.39249974891115,-266.7883332035563,-181.84666646695743,-274.2249998106893,-277.92954532154346,-211.5988710199781,67.68447589600787,137,-0.005435711444562896,-0.35762554298642946,-0.21791868806759984,-0.29754486539817715,-0.7197358731759211,-0.02185405956389297,-0.6421230587469837,-0.1032810371123587,-0.24089925830525472,-0.20725172835032324,-0.28136698231515034,0.22687999998487335,137
68,7.554599738121032,0.29491378125538115,0.7698426246643066,0.02564595891105224,5,10,3,scale,linear,"{'C': 5, 'coef0': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",-69.73761606739974,-173.25015308996947,-130.17221244696285,-126.23065712690656,-97.63916436953014,-94.19694609911357,-177.07927927867354,-164.34782671011158,-265.69122686680885,-365.25790501394033,-166.36029870694165,84.72270064769815,13,-53.528394745097735,-142.47012932446538,-118.03083032422244,-100.18592544360085,-77.60096846682295,-74.3326262631338,-140.64428178809138,-138.31953945893903,-196.20878088598556,-186.91380751349962,-122.82352842138589,44.91141033733643,4,0.5972439235655578,0.5718919801434963,0.837368218895007,0.8187927075347485,-0.05481578119258401,0.7243379930205514,0.6040900007146432,0.42489405446679684,0.43846746129760494,0.3866056476446842,0.5348876206090506,0.24681323550425163,13
69,7.808019423484803,0.1919881353518751,0.7701303958892822,0.03980402014088732,5,10,3,scale,poly,"{'C': 5, 'coef0': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",-70.34886255321292,-174.8518028532648,-123.59723572652493,-127.54248160077003,-94.55859875823987,-89.49891418141344,-182.65706901982054,-166.4100308052828,-267.6906948341101,-364.17568709215516,-166.13313774247948,85.646254312833,3,-51.4610718152286,-145.134101341868,-112.82537290559806,-101.75352503079641,-75.11905597715652,-70.49327501347186,-143.95424564697063,-142.6756896519903,-197.03819155160838,-186.224875326369,-122.66794042610577,46.3857333660589,3,0.5901527110529157,0.5639399113773785,0.8533823138929117,0.8150068229907235,0.010694174056927852,0.7511493379518256,0.5787557863964117,0.41037087374658165,0.42998399690728895,0.3902350992232678,0.5393671027596233,0.23548016978808056,3
70,7.811906862258911,0.1631399537512411,1.6821443080902099,0.4267498078329551,5,10,3,scale,rbf,"{'C': 5, 'coef0': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",-103.87905960552013,-300.71776540790717,-347.97006496872814,-330.7506494588656,-122.8068333202086,-173.11195721731772,-351.027219742491,-221.33608739771987,-390.19347717230846,-506.58967987615176,-284.83827941672183,121.04372412014193,88,-92.35088753334416,-210.3959107056178,-265.1664063160368,-256.75154314016095,-106.51415007276832,-148.9229369210718,-260.1139507738381,-174.89194531085363,-269.32759150897505,-272.78847391288764,-205.72237961955543,66.73334783029541,87,0.10635727183289567,-0.2898056666673443,-0.1621243850821774,-0.2440773878967717,-0.6686819819765462,0.0689834507654874,-0.5557598805402031,-0.04309624889145769,-0.2111014071372821,-0.17992173649987464,-0.21792279720932745,0.23362579098556133,87
71,7.389437103271485,0.1825488360154902,0.7629894733428955,0.019038681924830686,5,10,3,scale,sigmoid,"{'C': 5, 'coef0': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",-110.18518365384087,-308.522573575286,-356.22527006287413,-337.78331931441767,-124.67133784251104,-181.3605413600361,-360.6387259884288,-227.63189488279986,-394.9644553007571,-512.4230477923978,-291.440634977335,121.58535657433085,139,-96.74833322622936,-216.51416651923083,-274.44749969902114,-262.97333304204864,-108.12333317217913,-156.39249975794857,-266.7883332085766,-181.84666647052305,-274.2249998146865,-277.9295453256803,-211.5988710236124,67.68447589436141,139,-0.005435711603437365,-0.3576255430395394,-0.21791868811627957,-0.29754486528729474,-0.7197358733376411,-0.021854059674713655,-0.642123058786485,-0.10328103714289716,-0.24089925832784642,-0.2072517283700599,-0.28136698236861946,0.22687999998659125,139
