city_code,city,uf,lat,long,radiance,geometry,distance_to_city,rank
2921450,Mirante ,BA,-14.233334047200003,-40.76666555279999,1.7470627,POINT (-40.76666555279999 -14.233334047200003),0.009469162827417,16.0
2921450,Mirante ,BA,-14.233334047200003,-40.76249888609999,2.3010058,POINT (-40.76249888609999 -14.233334047200003),0.0128271144719061,32.0
2921450,Mirante ,BA,-14.233334047200003,-40.75833221939999,1.5357364,POINT (-40.75833221939999 -14.233334047200003),0.0165567783543911,52.0
2921450,Mirante ,BA,-14.233334047200003,-40.75416555269999,0.72630036,POINT (-40.75416555269999 -14.233334047200003),0.0204558347679895,78.0
2921450,Mirante ,BA,-14.237500713900005,-40.7958322197,0.34037462,POINT (-40.7958322197 -14.237500713900005),0.022385874194613,90.0
2921450,Mirante ,BA,-14.237500713900005,-40.791665553,0.3914586,POINT (-40.791665553 -14.237500713900005),0.0182466880566218,59.0
2921450,Mirante ,BA,-14.237500713900005,-40.7874988863,0.4137998,POINT (-40.7874988863 -14.237500713900005),0.0141236719514471,35.0
2921450,Mirante ,BA,-14.237500713900005,-40.7833322196,0.5462532,POINT (-40.7833322196 -14.237500713900005),0.010036773212857,18.0
2921450,Mirante ,BA,-14.237500713900005,-40.7791655529,0.9778718,POINT (-40.7791655529 -14.237500713900005),0.0060595170136206,6.0
2921450,Mirante ,BA,-14.237500713900005,-40.7749988862,5.9463935,POINT (-40.7749988862 -14.237500713900005),0.0027241327295518,2.0
2921450,Mirante ,BA,-14.237500713900005,-40.7708322195,11.241309,POINT (-40.7708322195 -14.237500713900005),0.0035841700009622,4.0
2921450,Mirante ,BA,-14.237500713900005,-40.76666555279999,11.166404,POINT (-40.76666555279999 -14.237500713900005),0.0072796890621289,12.0
2921450,Mirante ,BA,-14.237500713900005,-40.76249888609999,10.210301,POINT (-40.76249888609999 -14.237500713900005),0.0113076829573758,24.0
2921450,Mirante ,BA,-14.237500713900005,-40.75833221939999,5.0184,POINT (-40.75833221939999 -14.237500713900005),0.0154095988807489,47.0
